# Source: https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
# Extracted from the public HTML wordlist page; duplicate parts of speech are deduplicated to the lowest CEFR level.
# Input SHA-256: 74b471082c6b02ce3bf51e662c4b63a86905d1f4e2d6eed0db480b8e705d0b26
word,cefr,oxford3000,oxford5000
frequently,b1,b1,b1
fresh,a2,a2,a2
friday,a1,a1,a1
fridge,a2,a2,a2
friend,a1,a1,a1
friendly,a1,a1,a1
friendship,b1,b1,b1
frighten,b1,b1,b1
frightened,b1,b1,b1
frightening,b1,b1,b1
frog,a2,a2,a2
from,a1,a1,a1
front,a1,a1,a1
frozen,b1,b1,b1
fruit,a1,a1,a1
fry,b1,b1,b1
fuel,b1,b1,b1
full,a1,a1,a1
fully,b2,b2,b2
fun,a1,a1,a1
function,b1,b1,b1
fund,b2,b2,b2
fundamental,b2,b2,b2
funding,b2,b2,b2
funny,a1,a1,a1
fur,b1,b1,b1
furniture,a2,a2,a2
further,a2,a2,a2
furthermore,b2,b2,b2
future,a1,a1,a1
gain,b2,b2,b2
gallery,a2,a2,a2
game,a1,a1,a1
gang,b2,b2,b2
gap,a2,a2,a2
garage,b1,b1,b1
garden,a1,a1,a1
gas,a2,a2,a2
gate,a2,a2,a2
gather,b1,b1,b1
general,a2,a2,a2
generally,b1,b1,b1
generate,b2,b2,b2
generation,b1,b1,b1
generous,b1,b1,b1
genre,b2,b2,b2
gentle,b1,b1,b1
gentleman,b1,b1,b1
geography,a1,a1,a1
get,a1,a1,a1
ghost,b1,b1,b1
giant,b1,b1,b1
gift,a2,a2,a2
girl,a1,a1,a1
girlfriend,a1,a1,a1
give,a1,a1,a1
glad,b1,b1,b1
glass,a1,a1,a1
global,b1,b1,b1
glove,b1,b1,b1
go,a1,a1,a1
goal,a2,a2,a2
god,a2,a2,a2
gold,a2,a2,a2
golf,a2,a2,a2
good,a1,a1,a1
goodbye,a1,a1,a1
goods,b1,b1,b1
govern,b2,b2,b2
government,a2,a2,a2
grab,b2,b2,b2
grade,b1,b1,b1
gradually,b2,b2,b2
graduate,b1,b1,b1
grain,b1,b1,b1
grand,b2,b2,b2
grandfather,a1,a1,a1
grandmother,a1,a1,a1
grandparent,a1,a1,a1
grant,b2,b2,b2
grass,a2,a2,a2
grateful,b1,b1,b1
great,a1,a1,a1
green,a1,a1,a1
greet,a2,a2,a2
grey,a1,a1,a1
ground,a2,a2,a2
group,a1,a1,a1
grow,a1,a1,a1
growth,b1,b1,b1
guarantee,b2,b2,b2
guard,b1,b1,b1
guess,a1,a1,a1
guest,a2,a2,a2
guide,a2,a2,a2
guilty,b1,b1,b1
guitar,a1,a1,a1
gun,a2,a2,a2
guy,a2,a2,a2
gym,a1,a1,a1
habit,a2,a2,a2
hair,a1,a1,a1
half,a1,a1,a1
hall,a2,a2,a2
hand,a1,a1,a1
handle,b2,b2,b2
hang,b1,b1,b1
happen,a1,a1,a1
happily,a2,a2,a2
happiness,b1,b1,b1
happy,a1,a1,a1
hard,a1,a1,a1
hardly,b1,b1,b1
harm,b2,b2,b2
harmful,b2,b2,b2
hat,a1,a1,a1
hate,a1,a1,a1
have,a1,a1,a1
have to,a1,a1,a1
he,a1,a1,a1
head,a1,a1,a1
headache,a2,a2,a2
headline,b1,b1,b1
health,a1,a1,a1
healthy,a1,a1,a1
hear,a1,a1,a1
hearing,b2,b2,b2
heart,a2,a2,a2
heat,a2,a2,a2
heating,b1,b1,b1
heaven,b2,b2,b2
heavily,b1,b1,b1
heavy,a2,a2,a2
heel,b2,b2,b2
height,a2,a2,a2
helicopter,b1,b1,b1
hell,b2,b2,b2
hello,a1,a1,a1
help,a1,a1,a1
helpful,a2,a2,a2
her,a1,a1,a1
here,a1,a1,a1
hero,a2,a2,a2
hers,a2,a2,a2
herself,a2,a2,a2
hesitate,b2,b2,b2
hey,a1,a1,a1
hi,a1,a1,a1
hide,a2,a2,a2
high,a1,a1,a1
highlight,b1,b1,b1
highly,b1,b1,b1
hill,a2,a2,a2
him,a1,a1,a1
himself,a2,a2,a2
hire,b1,b1,b1
his,a1,a1,a1
historic,b1,b1,b1
historical,b1,b1,b1
history,a1,a1,a1
hit,a2,a2,a2
hobby,a1,a1,a1
hockey,a2,a2,a2
hold,a2,a2,a2
hole,a2,a2,a2
holiday,a1,a1,a1
hollow,b2,b2,b2
holy,b2,b2,b2
home,a1,a1,a1
homework,a1,a1,a1
honest,b1,b1,b1
honour,b2,b2,b2
hope,a1,a1,a1
horrible,b1,b1,b1
horror,b1,b1,b1
horse,a1,a1,a1
hospital,a1,a1,a1
host,b1,b1,b1
hot,a1,a1,a1
hotel,a1,a1,a1
hour,a1,a1,a1
house,a1,a1,a1
household,b2,b2,b2
housing,b2,b2,b2
how,a1,a1,a1
however,a1,a1,a1
huge,a2,a2,a2
human,a2,a2,a2
humorous,b2,b2,b2
humour,b2,b2,b2
hundred,a1,a1,a1
hungry,a1,a1,a1
hunt,b1,b1,b1
hunting,b2,b2,b2
hurricane,b1,b1,b1
hurry,b1,b1,b1
hurt,a2,a2,a2
husband,a1,a1,a1
i,a1,a1,a1
ice,a1,a1,a1
ice cream,a1,a1,a1
idea,a1,a1,a1
ideal,a2,a2,a2
identify,a2,a2,a2
identity,b1,b1,b1
if,a1,a1,a1
ignore,b1,b1,b1
ill,a2,a2,a2
illegal,b1,b1,b1
illness,a2,a2,a2
illustrate,b2,b2,b2
illustration,b2,b2,b2
image,a2,a2,a2
imaginary,b1,b1,b1
imagination,b2,b2,b2
imagine,a1,a1,a1
immediate,b1,b1,b1
immediately,a2,a2,a2
immigrant,b1,b1,b1
impact,b1,b1,b1
impatient,b2,b2,b2
imply,b2,b2,b2
import,b1,b1,b1
importance,b1,b1,b1
important,a1,a1,a1
impose,b2,b2,b2
impossible,a2,a2,a2
impress,b2,b2,b2
impressed,b2,b2,b2
impression,b1,b1,b1
impressive,b1,b1,b1
improve,a1,a1,a1
improvement,b1,b1,b1
in,a1,a1,a1
inch,b2,b2,b2
incident,b2,b2,b2
include,a1,a1,a1
included,a2,a2,a2
including,a2,a2,a2
income,b2,b2,b2
increase,a2,a2,a2
increasingly,b2,b2,b2
incredible,a2,a2,a2
incredibly,b1,b1,b1
indeed,b1,b1,b1
independent,a2,a2,a2
indicate,b1,b1,b1
indirect,b1,b1,b1
individual,a2,a2,a2
indoor,b1,b1,b1
indoors,b1,b1,b1
industrial,b2,b2,b2
industry,a2,a2,a2
infection,b2,b2,b2
influence,b1,b1,b1
inform,b2,b2,b2
informal,a2,a2,a2
information,a1,a1,a1
ingredient,b1,b1,b1
initial,b2,b2,b2
initially,b2,b2,b2
initiative,b2,b2,b2
injure,b1,b1,b1
injured,b1,b1,b1
injury,a2,a2,a2
inner,b2,b2,b2
innocent,b1,b1,b1
inquiry,b2,b2,b2
insect,a2,a2,a2
inside,a2,a2,a2
insight,b2,b2,b2
insist,b2,b2,b2
inspire,b2,b2,b2
install,b2,b2,b2
instance,b2,b2,b2
instead,a2,a2,a2
institute,b2,b2,b2
institution,b2,b2,b2
instruction,a2,a2,a2
instructor,a2,a2,a2
instrument,a2,a2,a2
insurance,b2,b2,b2
intelligence,b1,b1,b1
intelligent,a2,a2,a2
intend,b1,b1,b1
intended,b2,b2,b2
intense,b2,b2,b2
intention,b1,b1,b1
interest,a1,a1,a1
interested,a1,a1,a1
interesting,a1,a1,a1
internal,b2,b2,b2
international,a2,a2,a2
internet,a1,a1,a1
interpret,b2,b2,b2
interrupt,b2,b2,b2
interview,a1,a1,a1
into,a1,a1,a1
introduce,a1,a1,a1
introduction,a2,a2,a2
invent,a2,a2,a2
invention,a2,a2,a2
invest,b1,b1,b1
investigate,b1,b1,b1
investigation,b2,b2,b2
investment,b2,b2,b2
invitation,a2,a2,a2
invite,a2,a2,a2
involve,a2,a2,a2
involved,b1,b1,b1
iron,b1,b1,b1
island,a1,a1,a1
issue,b1,b1,b1
it,a1,a1,a1
item,a2,a2,a2
its,a1,a1,a1
itself,a2,a2,a2
jacket,a1,a1,a1
jam,a2,a2,a2
january,a1,a1,a1
jazz,a2,a2,a2
jeans,a1,a1,a1
jewellery,a2,a2,a2
job,a1,a1,a1
join,a1,a1,a1
joke,a2,a2,a2
journal,b1,b1,b1
journalist,a2,a2,a2
journey,a1,a1,a1
joy,b2,b2,b2
judge,b1,b1,b1
judgement,b2,b2,b2
juice,a1,a1,a1
july,a1,a1,a1
jump,a2,a2,a2
june,a1,a1,a1
junior,b2,b2,b2
just,a1,a1,a1
justice,b2,b2,b2
justify,b2,b2,b2
keen,b1,b1,b1
keep,a1,a1,a1
key,a1,a1,a1
keyboard,b1,b1,b1
kick,b1,b1,b1
kid,a2,a2,a2
kill,a2,a2,a2
killing,b1,b1,b1
kilometre,a1,a1,a1
kind,a1,a1,a1
king,a2,a2,a2
kiss,b1,b1,b1
kitchen,a1,a1,a1
knee,a2,a2,a2
knife,a2,a2,a2
knock,a2,a2,a2
know,a1,a1,a1
knowledge,a2,a2,a2
lab,a2,a2,a2
label,b1,b1,b1
laboratory,b1,b1,b1
labour,b2,b2,b2
lack,b1,b1,b1
lady,a2,a2,a2
lake,a2,a2,a2
lamp,a2,a2,a2
land,a1,a1,a1
landscape,b2,b2,b2
language,a1,a1,a1
laptop,a2,a2,a2
large,a1,a1,a1
largely,b2,b2,b2
last,a1,a1,a1
late,a1,a1,a1
later,a1,a1,a1
latest,b1,b1,b1
laugh,a1,a1,a1
laughter,a2,a2,a2
launch,b2,b2,b2
law,a2,a2,a2
lawyer,a2,a2,a2
lay,b1,b1,b1
layer,b1,b1,b1
lazy,a2,a2,a2
lead,a2,a2,a2
leader,a2,a2,a2
leadership,b2,b2,b2
leading,b1,b1,b1
leaf,b1,b1,b1
league,b2,b2,b2
lean,b2,b2,b2
learn,a1,a1,a1
learning,a2,a2,a2
least,a2,a2,a2
leather,b1,b1,b1
leave,a1,a1,a1
lecture,a2,a2,a2
left,a1,a1,a1
leg,a1,a1,a1
legal,b1,b1,b1
leisure,b1,b1,b1
lemon,a2,a2,a2
lend,a2,a2,a2
length,b1,b1,b1
less,a2,a2,a2
lesson,a1,a1,a1
let,a1,a1,a1
letter,a1,a1,a1
level,a2,a2,a2
library,a1,a1,a1
licence,b2,b2,b2
lie,a1,a1,a1
life,a1,a1,a1
lifestyle,a2,a2,a2
lift,a2,a2,a2
light,a1,a1,a1
like,a1,a1,a1
likely,a2,a2,a2
limit,b1,b1,b1
limited,b2,b2,b2
line,a1,a1,a1
link,a2,a2,a2
lion,a1,a1,a1
lip,b1,b1,b1
liquid,b1,b1,b1
list,a1,a1,a1
listen,a1,a1,a1
listener,a2,a2,a2
literature,b1,b1,b1
little,a1,a1,a1
live,a1,a1,a1
lively,b2,b2,b2
living,b1,b1,b1
load,b2,b2,b2
loan,b2,b2,b2
local,a1,a1,a1
locate,b1,b1,b1
located,b1,b1,b1
location,b1,b1,b1
lock,a2,a2,a2
logical,b2,b2,b2
lonely,b1,b1,b1
long,a1,a1,a1
long term,b2,b2,b2
look,a1,a1,a1
loose,b2,b2,b2
lord,b2,b2,b2
lorry,a2,a2,a2
lose,a1,a1,a1
loss,b1,b1,b1
lost,a2,a2,a2
lot,a1,a1,a1
loud,a2,a2,a2
loudly,a2,a2,a2
love,a1,a1,a1
lovely,a2,a2,a2
low,a2,a2,a2
lower,b2,b2,b2
luck,a2,a2,a2
lucky,a2,a2,a2
lunch,a1,a1,a1
lung,b2,b2,b2
luxury,b1,b1,b1
machine,a1,a1,a1
mad,b1,b1,b1
magazine,a1,a1,a1
magic,b1,b1,b1
mail,a2,a2,a2
main,a1,a1,a1
mainly,b1,b1,b1
maintain,b2,b2,b2
major,a2,a2,a2
majority,b2,b2,b2
make,a1,a1,a1
male,a2,a2,a2
mall,b1,b1,b1
man,a1,a1,a1
manage,a2,a2,a2
management,b1,b1,b1
manager,a2,a2,a2
manner,a2,a2,a2
many,a1,a1,a1
map,a1,a1,a1
march,a1,a1,a1
mark,a2,a2,a2
market,a1,a1,a1
marketing,b1,b1,b1
marriage,b1,b1,b1
married,a1,a1,a1
marry,a2,a2,a2
mass,b2,b2,b2
massive,b2,b2,b2
master,b2,b2,b2
match,a1,a1,a1
matching,b2,b2,b2
material,a2,a2,a2
mathematics,a2,a2,a2
maths,a2,a2,a2
matter,a2,a2,a2
maximum,b2,b2,b2
may,a1,a1,a1
maybe,a1,a1,a1
me,a1,a1,a1
meal,a1,a1,a1
mean,a1,a1,a1
meaning,a1,a1,a1
means,b2,b2,b2
meanwhile,b1,b1,b1
measure,b1,b1,b1
measurement,b2,b2,b2
meat,a1,a1,a1
media,a2,a2,a2
medical,a2,a2,a2
medicine,a2,a2,a2
medium,b1,b1,b1
meet,a1,a1,a1
meeting,a1,a1,a1
melt,b2,b2,b2
member,a1,a1,a1
memory,a2,a2,a2
mental,b1,b1,b1
mention,a2,a2,a2
menu,a1,a1,a1
mess,b1,b1,b1
message,a1,a1,a1
metal,a2,a2,a2
method,a2,a2,a2
metre,a1,a1,a1
middle,a2,a2,a2
midnight,a1,a1,a1
might,a2,a2,a2
mild,b1,b1,b1
mile,a1,a1,a1
military,b2,b2,b2
milk,a1,a1,a1
million,a1,a1,a1
mind,a2,a2,a2
mine,a2,a2,a2
mineral,b2,b2,b2
minimum,b2,b2,b2
minister,b2,b2,b2
minor,b2,b2,b2
minority,b2,b2,b2
minute,a1,a1,a1
mirror,a2,a2,a2
miss,a1,a1,a1
missing,a2,a2,a2
mission,b2,b2,b2
mistake,a1,a1,a1
mix,b1,b1,b1
mixed,b2,b2,b2
mixture,b1,b1,b1
mobile,a2,a2,a2
model,a1,a1,a1
modern,a1,a1,a1
modify,b2,b2,b2
moment,a1,a1,a1
monday,a1,a1,a1
money,a1,a1,a1
monitor,b2,b2,b2
monkey,a2,a2,a2
month,a1,a1,a1
mood,b1,b1,b1
moon,a2,a2,a2
moral,b2,b2,b2
more,a1,a1,a1
morning,a1,a1,a1
most,a1,a1,a1
mostly,a2,a2,a2
mother,a1,a1,a1
motor,b2,b2,b2
motorcycle,a2,a2,a2
mount,b2,b2,b2
mountain,a1,a1,a1
mouse,a1,a1,a1
mouth,a1,a1,a1
move,a1,a1,a1
movement,a2,a2,a2
movie,a1,a1,a1
much,a1,a1,a1
mud,b1,b1,b1
multiple,b2,b2,b2
multiply,b2,b2,b2
mum,a1,a1,a1
murder,b1,b1,b1
muscle,b1,b1,b1
museum,a1,a1,a1
music,a1,a1,a1
musical,a2,a2,a2
musician,a2,a2,a2
must,a1,a1,a1
my,a1,a1,a1
myself,a2,a2,a2
mysterious,b2,b2,b2
mystery,b1,b1,b1
nail,b1,b1,b1
name,a1,a1,a1
narrative,b1,b1,b1
narrow,a2,a2,a2
nation,b1,b1,b1
national,a2,a2,a2
native,b1,b1,b1
natural,a1,a1,a1
naturally,b1,b1,b1
nature,a2,a2,a2
near,a1,a1,a1
nearly,a2,a2,a2
neat,b2,b2,b2
necessarily,b1,b1,b1
necessary,a2,a2,a2
neck,a2,a2,a2
need,a1,a1,a1
needle,b1,b1,b1
negative,a1,a1,a1
neighbour,a1,a1,a1
neighbourhood,b1,b1,b1
neither,a2,a2,a2
nerve,b2,b2,b2
nervous,a2,a2,a2
net,b1,b1,b1
network,a2,a2,a2
never,a1,a1,a1
nevertheless,b2,b2,b2
new,a1,a1,a1
news,a1,a1,a1
newspaper,a1,a1,a1
next,a1,a1,a1
next to,a1,a1,a1
nice,a1,a1,a1
night,a1,a1,a1
nightmare,b2,b2,b2
nine,a1,a1,a1
nineteen,a1,a1,a1
ninety,a1,a1,a1
no,a1,a1,a1
no one,a1,a1,a1
nobody,a1,a1,a1
noise,a2,a2,a2
noisy,a2,a2,a2
none,a2,a2,a2
nor,b1,b1,b1
normal,a2,a2,a2
normally,a2,a2,a2
north,a1,a1,a1
northern,b1,b1,b1
nose,a1,a1,a1
not,a1,a1,a1
note,a1,a1,a1
nothing,a1,a1,a1
notice,a2,a2,a2
notion,b2,b2,b2
novel,a2,a2,a2
november,a1,a1,a1
now,a1,a1,a1
nowhere,a2,a2,a2
nuclear,b1,b1,b1
number,a1,a1,a1
numerous,b2,b2,b2
nurse,a1,a1,a1
nut,a2,a2,a2
obey,b2,b2,b2
object,a1,a1,a1
objective,b2,b2,b2
obligation,b2,b2,b2
observation,b2,b2,b2
observe,b2,b2,b2
obtain,b2,b2,b2
obvious,b1,b1,b1
obviously,b1,b1,b1
occasion,b1,b1,b1
occasionally,b2,b2,b2
occur,b1,b1,b1
ocean,a2,a2,a2
oclock,a1,a1,a1
october,a1,a1,a1
odd,b1,b1,b1
of,a1,a1,a1
off,a1,a1,a1
offence,b2,b2,b2
offend,b2,b2,b2
offensive,b2,b2,b2
offer,a2,a2,a2
office,a1,a1,a1
officer,a2,a2,a2
official,b1,b1,b1
often,a1,a1,a1
oh,a1,a1,a1
oil,a2,a2,a2
ok,a1,a1,a1
old,a1,a1,a1
old fashioned,b1,b1,b1
on,a1,a1,a1
once,a1,a1,a1
one,a1,a1,a1
onion,a1,a1,a1
online,a1,a1,a1
only,a1,a1,a1
onto,a2,a2,a2
open,a1,a1,a1
opening,b2,b2,b2
operate,b2,b2,b2
operation,b1,b1,b1
opinion,a1,a1,a1
opponent,b2,b2,b2
opportunity,a2,a2,a2
oppose,b2,b2,b2
opposed,b2,b2,b2
opposite,a1,a1,a1
opposition,b2,b2,b2
option,a2,a2,a2
or,a1,a1,a1
orange,a1,a1,a1
order,a1,a1,a1
ordinary,a2,a2,a2
organ,b2,b2,b2
organization,a2,a2,a2
organize,a2,a2,a2
organized,b1,b1,b1
organizer,b1,b1,b1
origin,b2,b2,b2
original,a2,a2,a2
originally,b1,b1,b1
other,a1,a1,a1
otherwise,b2,b2,b2
ought,b1,b1,b1
our,a1,a1,a1
ours,b1,b1,b1
ourselves,a2,a2,a2
out,a1,a1,a1
outcome,b2,b2,b2
outdoor,b1,b1,b1
outdoors,b1,b1,b1
outer,b2,b2,b2
outline,b2,b2,b2
outside,a1,a1,a1
oven,a2,a2,a2
over,a1,a1,a1
overall,b2,b2,b2
owe,b2,b2,b2
own,a1,a1,a1
owner,a2,a2,a2
pace,b2,b2,b2
pack,a2,a2,a2
package,b1,b1,b1
page,a1,a1,a1
pain,a2,a2,a2
painful,b1,b1,b1
paint,a1,a1,a1
painter,a2,a2,a2
painting,a1,a1,a1
pair,a1,a1,a1
palace,a2,a2,a2
pale,b1,b1,b1
pan,b1,b1,b1
panel,b2,b2,b2
pants,a2,a2,a2
paper,a1,a1,a1
paragraph,a1,a1,a1
parent,a1,a1,a1
park,a1,a1,a1
parking,a2,a2,a2
parliament,b2,b2,b2
part,a1,a1,a1
participant,b2,b2,b2
participate,b1,b1,b1
particular,a2,a2,a2
particularly,b1,b1,b1
partly,b2,b2,b2
partner,a1,a1,a1
party,a1,a1,a1
pass,a2,a2,a2
passage,b2,b2,b2
passenger,a2,a2,a2
passion,b1,b1,b1
passport,a1,a1,a1
past,a1,a1,a1
path,b1,b1,b1
patient,a2,a2,a2
pattern,a2,a2,a2
pay,a1,a1,a1
payment,b1,b1,b1
peace,a2,a2,a2
peaceful,b1,b1,b1
pen,a1,a1,a1
pencil,a1,a1,a1
penny,a2,a2,a2
pension,b2,b2,b2
people,a1,a1,a1
pepper,a1,a1,a1
per,a2,a2,a2
per cent,a2,a2,a2
percentage,b1,b1,b1
perfect,a1,a1,a1
perfectly,b1,b1,b1
perform,a2,a2,a2
performance,b1,b1,b1
perhaps,a2,a2,a2
period,a1,a1,a1
permanent,b2,b2,b2
permission,a2,a2,a2
permit,b2,b2,b2
person,a1,a1,a1
personal,a1,a1,a1
personality,a2,a2,a2
personally,b1,b1,b1
perspective,b2,b2,b2
persuade,b1,b1,b1
pet,a2,a2,a2
petrol,a2,a2,a2
phase,b2,b2,b2
phenomenon,b2,b2,b2
philosophy,b2,b2,b2
phone,a1,a1,a1
photo,a1,a1,a1
photograph,a1,a1,a1
photographer,b1,b1,b1
photography,b1,b1,b1
phrase,a1,a1,a1
physical,a2,a2,a2
physics,a2,a2,a2
piano,a1,a1,a1
pick,a2,a2,a2
picture,a1,a1,a1
piece,a1,a1,a1
pig,a1,a1,a1
pile,b2,b2,b2
pilot,a2,a2,a2
pin,b1,b1,b1
pink,a1,a1,a1
pipe,b1,b1,b1
pitch,b2,b2,b2
place,a1,a1,a1
plain,b2,b2,b2
plan,a1,a1,a1
plane,a1,a1,a1
planet,a2,a2,a2
planning,b1,b1,b1
plant,a1,a1,a1
plastic,a2,a2,a2
plate,a2,a2,a2
platform,a2,a2,a2
play,a1,a1,a1
player,a1,a1,a1
pleasant,b1,b1,b1
please,a1,a1,a1
pleased,a2,a2,a2
pleasure,b1,b1,b1
plenty,b1,b1,b1
plot,b1,b1,b1
plus,b1,b1,b1
pocket,a2,a2,a2
poem,b1,b1,b1
poet,b1,b1,b1
poetry,b1,b1,b1
point,a1,a1,a1
pointed,b2,b2,b2
poison,b1,b1,b1
poisonous,b1,b1,b1
police,a1,a1,a1
policeman,a1,a1,a1
policy,b1,b1,b1
polite,a2,a2,a2
political,b1,b1,b1
politician,b1,b1,b1
politics,b1,b1,b1
pollution,a2,a2,a2
pool,a1,a1,a1
poor,a1,a1,a1
pop,a2,a2,a2
popular,a1,a1,a1
popularity,b2,b2,b2
population,a2,a2,a2
port,b1,b1,b1
portrait,b1,b1,b1
pose,b2,b2,b2
position,a2,a2,a2
positive,a1,a1,a1
possess,b2,b2,b2
possession,a2,a2,a2
possibility,a2,a2,a2
possible,a1,a1,a1
possibly,b1,b1,b1
post,a1,a1,a1
poster,a2,a2,a2
pot,b1,b1,b1
potato,a1,a1,a1
potential,b2,b2,b2
pound,a1,a1,a1
pour,b1,b1,b1
poverty,b1,b1,b1
powder,b1,b1,b1
power,a2,a2,a2
powerful,b1,b1,b1
practical,b1,b1,b1
practice,a1,a1,a1
practise,a1,a1,a1
praise,b2,b2,b2
pray,b1,b1,b1
prayer,b1,b1,b1
predict,a2,a2,a2
prediction,b1,b1,b1
prefer,a1,a1,a1
pregnant,b2,b2,b2
preparation,b2,b2,b2
prepare,a1,a1,a1
prepared,b1,b1,b1
presence,b2,b2,b2
present,a1,a1,a1
presentation,b1,b1,b1
preserve,b2,b2,b2
president,a2,a2,a2
press,b1,b1,b1
pressure,b1,b1,b1
pretend,b1,b1,b1
pretty,a1,a1,a1
prevent,a2,a2,a2
previous,b1,b1,b1
previously,b1,b1,b1
price,a1,a1,a1
priest,b1,b1,b1
primary,b1,b1,b1
prime,b2,b2,b2
prince,b1,b1,b1
princess,b1,b1,b1
principle,b2,b2,b2
print,a2,a2,a2
printer,a2,a2,a2
printing,b1,b1,b1
priority,b2,b2,b2
prison,a2,a2,a2
prisoner,b1,b1,b1
privacy,b2,b2,b2
private,b1,b1,b1
prize,a2,a2,a2
probably,a1,a1,a1
problem,a1,a1,a1
procedure,b2,b2,b2
process,a2,a2,a2
produce,a2,a2,a2
producer,b1,b1,b1
product,a1,a1,a1
production,b1,b1,b1
profession,b1,b1,b1
professional,a2,a2,a2
professor,a2,a2,a2
profile,a2,a2,a2
profit,b1,b1,b1
program,a2,a2,a2
programme,a1,a1,a1
progress,a2,a2,a2
project,a1,a1,a1
promise,a2,a2,a2
promote,b1,b1,b1
pronounce,a2,a2,a2
proof,b2,b2,b2
proper,b1,b1,b1
properly,b1,b1,b1
property,b1,b1,b1
proposal,b2,b2,b2
propose,b2,b2,b2
prospect,b2,b2,b2
protect,a2,a2,a2
protection,b2,b2,b2
protest,b1,b1,b1
proud,b1,b1,b1
prove,b1,b1,b1
provide,a2,a2,a2
psychologist,b2,b2,b2
psychology,b2,b2,b2
pub,a2,a2,a2
public,a2,a2,a2
publication,b2,b2,b2
publish,a2,a2,a2
pull,a2,a2,a2
punish,b1,b1,b1
punishment,b1,b1,b1
pupil,b2,b2,b2
purchase,b2,b2,b2
pure,b2,b2,b2
purple,a1,a1,a1
purpose,a2,a2,a2
pursue,b2,b2,b2
push,a2,a2,a2
put,a1,a1,a1
qualification,b1,b1,b1
qualified,b1,b1,b1
qualify,b1,b1,b1
quality,a2,a2,a2
quantity,a2,a2,a2
quarter,a1,a1,a1
queen,a2,a2,a2
question,a1,a1,a1
queue,b1,b1,b1
quick,a1,a1,a1
quickly,a1,a1,a1
quiet,a1,a1,a1
quietly,a2,a2,a2
quit,b1,b1,b1
quite,a1,a1,a1
quotation,b1,b1,b1
quote,b1,b1,b1
race,a2,a2,a2
racing,b1,b1,b1
radio,a1,a1,a1
railway,a2,a2,a2
rain,a1,a1,a1
raise,a2,a2,a2
range,b1,b1,b1
rank,b2,b2,b2
rapid,b2,b2,b2
rapidly,b2,b2,b2
rare,b1,b1,b1
rarely,b1,b1,b1
rate,a2,a2,a2
rather,a2,a2,a2
raw,b2,b2,b2
reach,a2,a2,a2
react,a2,a2,a2
reaction,b1,b1,b1
read,a1,a1,a1
reader,a1,a1,a1
reading,a1,a1,a1
ready,a1,a1,a1
real,a1,a1,a1
realistic,b2,b2,b2
reality,b1,b1,b1
realize,a2,a2,a2
really,a1,a1,a1
reason,a1,a1,a1
reasonable,b2,b2,b2
recall,b2,b2,b2
receipt,b1,b1,b1
receive,a2,a2,a2
recent,a2,a2,a2
recently,a2,a2,a2
reception,a2,a2,a2
recipe,a2,a2,a2
recognize,a2,a2,a2
recommend,a2,a2,a2
recommendation,b1,b1,b1
record,a2,a2,a2
recording,a2,a2,a2
recover,b2,b2,b2
recycle,a2,a2,a2
red,a1,a1,a1
reduce,a2,a2,a2
reduction,b2,b2,b2
refer,a2,a2,a2
reference,b1,b1,b1
reflect,b1,b1,b1
refuse,a2,a2,a2
regard,b2,b2,b2
region,a2,a2,a2
regional,b2,b2,b2
register,b2,b2,b2
regret,b2,b2,b2
regular,a2,a2,a2
regularly,b1,b1,b1
regulation,b2,b2,b2
reject,b1,b1,b1
relate,b1,b1,b1
related,b1,b1,b1
relation,b1,b1,b1
relationship,a2,a2,a2
relative,b1,b1,b1
relatively,b2,b2,b2
relax,a1,a1,a1
relaxed,b1,b1,b1
relaxing,b1,b1,b1
release,b1,b1,b1
relevant,b2,b2,b2
reliable,b1,b1,b1
relief,b2,b2,b2
religion,b1,b1,b1
religious,b1,b1,b1
rely,b2,b2,b2
remain,b1,b1,b1
remark,b2,b2,b2
remember,a1,a1,a1
remind,b1,b1,b1
remote,b1,b1,b1
remove,a2,a2,a2
rent,b1,b1,b1
repair,a2,a2,a2
repeat,a1,a1,a1
repeated,b1,b1,b1
replace,a2,a2,a2
reply,a2,a2,a2
report,a1,a1,a1
reporter,a2,a2,a2
represent,b1,b1,b1
representative,b2,b2,b2
reputation,b2,b2,b2
request,a2,a2,a2
require,b1,b1,b1
requirement,b2,b2,b2
rescue,b2,b2,b2
research,a2,a2,a2
researcher,a2,a2,a2
reservation,b1,b1,b1
reserve,b2,b2,b2
resident,b2,b2,b2
resist,b2,b2,b2
resolve,b2,b2,b2
resort,b2,b2,b2
resource,b1,b1,b1
respect,b1,b1,b1
respond,a2,a2,a2
response,a2,a2,a2
responsibility,b1,b1,b1
responsible,b1,b1,b1
rest,a2,a2,a2
restaurant,a1,a1,a1
result,a1,a1,a1
retain,b2,b2,b2
retire,b1,b1,b1
retired,b1,b1,b1
return,a1,a1,a1
reveal,b2,b2,b2
review,a2,a2,a2
revise,b1,b1,b1
revolution,b2,b2,b2
reward,b2,b2,b2
rhythm,b2,b2,b2
rice,a1,a1,a1
rich,a1,a1,a1
rid,b2,b2,b2
ride,a1,a1,a1
right,a1,a1,a1
ring,a2,a2,a2
rise,a2,a2,a2
risk,b1,b1,b1
river,a1,a1,a1
road,a1,a1,a1
robot,b1,b1,b1
rock,a2,a2,a2
role,a2,a2,a2
roll,b1,b1,b1
romantic,b1,b1,b1
