# Source: https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
# Extracted from the public HTML wordlist page; duplicate parts of speech are deduplicated to the lowest CEFR level.
# Input SHA-256: 74b471082c6b02ce3bf51e662c4b63a86905d1f4e2d6eed0db480b8e705d0b26
word,cefr,oxford3000,oxford5000
beef,a2,a2,a2
beer,a1,a1,a1
before,a1,a1,a1
beg,b2,b2,b2
begin,a1,a1,a1
beginning,a1,a1,a1
behave,a2,a2,a2
behaviour,a2,a2,a2
behind,a1,a1,a1
being,b2,b2,b2
belief,b1,b1,b1
believe,a1,a1,a1
bell,b1,b1,b1
belong,a2,a2,a2
below,a1,a1,a1
belt,a2,a2,a2
bend,b1,b1,b1
benefit,a2,a2,a2
bent,b2,b2,b2
best,a1,a1,a1
bet,b2,b2,b2
better,a1,a1,a1
between,a1,a1,a1
beyond,b2,b2,b2
bicycle,a1,a1,a1
big,a1,a1,a1
bike,a1,a1,a1
bill,a1,a1,a1
billion,a2,a2,a2
bin,a2,a2,a2
biology,a2,a2,a2
bird,a1,a1,a1
birth,a2,a2,a2
birthday,a1,a1,a1
biscuit,a2,a2,a2
bit,a2,a2,a2
bite,b1,b1,b1
bitter,b2,b2,b2
black,a1,a1,a1
blame,b2,b2,b2
blank,a2,a2,a2
blind,b2,b2,b2
block,b1,b1,b1
blog,a1,a1,a1
blonde,a1,a1,a1
blood,a2,a2,a2
blow,a2,a2,a2
blue,a1,a1,a1
board,a2,a2,a2
boat,a1,a1,a1
body,a1,a1,a1
boil,a2,a2,a2
bomb,b1,b1,b1
bond,b2,b2,b2
bone,a2,a2,a2
book,a1,a1,a1
boot,a1,a1,a1
border,b1,b1,b1
bored,a1,a1,a1
boring,a1,a1,a1
born,a1,a1,a1
borrow,a2,a2,a2
boss,a2,a2,a2
both,a1,a1,a1
bother,b1,b1,b1
bottle,a1,a1,a1
bottom,a2,a2,a2
bowl,a2,a2,a2
box,a1,a1,a1
boy,a1,a1,a1
boyfriend,a1,a1,a1
brain,a2,a2,a2
branch,b1,b1,b1
brand,b1,b1,b1
brave,b1,b1,b1
bread,a1,a1,a1
break,a1,a1,a1
breakfast,a1,a1,a1
breast,b2,b2,b2
breath,b1,b1,b1
breathe,b1,b1,b1
breathing,b1,b1,b1
bride,b1,b1,b1
bridge,a2,a2,a2
brief,b2,b2,b2
bright,a2,a2,a2
brilliant,a2,a2,a2
bring,a1,a1,a1
broad,b2,b2,b2
broadcast,b2,b2,b2
broken,a2,a2,a2
brother,a1,a1,a1
brown,a1,a1,a1
brush,a2,a2,a2
bubble,b1,b1,b1
budget,b2,b2,b2
build,a1,a1,a1
building,a1,a1,a1
bullet,b2,b2,b2
bunch,b2,b2,b2
burn,a2,a2,a2
bury,b1,b1,b1
bus,a1,a1,a1
bush,b2,b2,b2
business,a1,a1,a1
businessman,a2,a2,a2
busy,a1,a1,a1
but,a1,a1,a1
butter,a1,a1,a1
button,a2,a2,a2
buy,a1,a1,a1
by,a1,a1,a1
bye,a1,a1,a1
cable,b2,b2,b2
cafe,a1,a1,a1
cake,a1,a1,a1
calculate,b2,b2,b2
call,a1,a1,a1
calm,b1,b1,b1
camera,a1,a1,a1
camp,a2,a2,a2
campaign,b1,b1,b1
camping,a2,a2,a2
campus,b1,b1,b1
can,a1,a1,a1
cancel,b2,b2,b2
cancer,b2,b2,b2
candidate,b1,b1,b1
cannot,a1,a1,a1
cap,b1,b1,b1
capable,b2,b2,b2
capacity,b2,b2,b2
capital,a1,a1,a1
captain,b1,b1,b1
capture,b2,b2,b2
car,a1,a1,a1
card,a1,a1,a1
care,a2,a2,a2
career,a1,a1,a1
careful,a2,a2,a2
carefully,a2,a2,a2
careless,b1,b1,b1
carpet,a2,a2,a2
carrot,a1,a1,a1
carry,a1,a1,a1
cartoon,a2,a2,a2
case,a2,a2,a2
cash,a2,a2,a2
cast,b2,b2,b2
castle,a2,a2,a2
cat,a1,a1,a1
catch,a2,a2,a2
category,b1,b1,b1
cause,a2,a2,a2
cd,a1,a1,a1
ceiling,b1,b1,b1
celebrate,a2,a2,a2
celebration,b1,b1,b1
celebrity,a2,a2,a2
cell,b2,b2,b2
cent,a1,a1,a1
central,b1,b1,b1
centre,a1,a1,a1
century,a1,a1,a1
ceremony,b1,b1,b1
certain,a2,a2,a2
certainly,a2,a2,a2
chain,b1,b1,b1
chair,a1,a1,a1
chairman,b2,b2,b2
challenge,b1,b1,b1
champion,b1,b1,b1
chance,a2,a2,a2
change,a1,a1,a1
channel,b1,b1,b1
chapter,b1,b1,b1
character,a2,a2,a2
characteristic,b2,b2,b2
charge,b1,b1,b1
charity,a2,a2,a2
chart,a1,a1,a1
chat,a2,a2,a2
cheap,a1,a1,a1
cheat,b1,b1,b1
check,a1,a1,a1
cheerful,b1,b1,b1
cheese,a1,a1,a1
chef,a2,a2,a2
chemical,b1,b1,b1
chemistry,a2,a2,a2
chest,b1,b1,b1
chicken,a1,a1,a1
chief,b2,b2,b2
child,a1,a1,a1
childhood,b1,b1,b1
chip,a2,a2,a2
chocolate,a1,a1,a1
choice,a2,a2,a2
choose,a1,a1,a1
church,a2,a2,a2
cigarette,a2,a2,a2
cinema,a1,a1,a1
circle,a2,a2,a2
circumstance,b2,b2,b2
cite,b2,b2,b2
citizen,b2,b2,b2
city,a1,a1,a1
civil,b2,b2,b2
claim,b1,b1,b1
class,a1,a1,a1
classic,b2,b2,b2
classical,a2,a2,a2
classroom,a1,a1,a1
clause,b1,b1,b1
clean,a1,a1,a1
clear,a2,a2,a2
clearly,a2,a2,a2
clever,a2,a2,a2
click,b1,b1,b1
client,b1,b1,b1
climate,a2,a2,a2
climb,a1,a1,a1
clock,a1,a1,a1
close,a1,a1,a1
closed,a2,a2,a2
closely,b2,b2,b2
cloth,b1,b1,b1
clothes,a1,a1,a1
clothing,a2,a2,a2
cloud,a2,a2,a2
club,a1,a1,a1
clue,b1,b1,b1
coach,a2,a2,a2
coal,b1,b1,b1
coast,a2,a2,a2
coat,a1,a1,a1
code,a2,a2,a2
coffee,a1,a1,a1
coin,b1,b1,b1
cold,a1,a1,a1
collapse,b2,b2,b2
colleague,a2,a2,a2
collect,a2,a2,a2
collection,b1,b1,b1
college,a1,a1,a1
colour,a1,a1,a1
coloured,b1,b1,b1
column,a2,a2,a2
combination,b2,b2,b2
combine,b1,b1,b1
come,a1,a1,a1
comedy,a2,a2,a2
comfort,b2,b2,b2
comfortable,a2,a2,a2
command,b2,b2,b2
comment,a2,a2,a2
commercial,b1,b1,b1
commission,b2,b2,b2
commit,b1,b1,b1
commitment,b2,b2,b2
committee,b2,b2,b2
common,a1,a1,a1
commonly,b2,b2,b2
communicate,a2,a2,a2
communication,b1,b1,b1
community,a2,a2,a2
company,a1,a1,a1
compare,a1,a1,a1
comparison,b1,b1,b1
compete,a2,a2,a2
competition,a2,a2,a2
competitive,b1,b1,b1
competitor,b1,b1,b1
complain,a2,a2,a2
complaint,b1,b1,b1
complete,a1,a1,a1
completely,a2,a2,a2
complex,b1,b1,b1
complicated,b2,b2,b2
component,b2,b2,b2
computer,a1,a1,a1
concentrate,b1,b1,b1
concentration,b2,b2,b2
concept,b2,b2,b2
concern,b2,b2,b2
concerned,b2,b2,b2
concert,a1,a1,a1
conclude,b1,b1,b1
conclusion,b1,b1,b1
condition,a2,a2,a2
conduct,b2,b2,b2
conference,a2,a2,a2
confidence,b2,b2,b2
confident,b1,b1,b1
confirm,b1,b1,b1
conflict,b2,b2,b2
confuse,b1,b1,b1
confused,b1,b1,b1
confusing,b2,b2,b2
connect,a2,a2,a2
connected,a2,a2,a2
connection,b1,b1,b1
conscious,b2,b2,b2
consequence,b1,b1,b1
conservative,b2,b2,b2
consider,a2,a2,a2
consideration,b2,b2,b2
consist,b1,b1,b1
consistent,b2,b2,b2
constant,b2,b2,b2
constantly,b2,b2,b2
construct,b2,b2,b2
construction,b2,b2,b2
consume,b1,b1,b1
consumer,b1,b1,b1
contact,b1,b1,b1
contain,a2,a2,a2
container,b1,b1,b1
contemporary,b2,b2,b2
content,b1,b1,b1
contest,b2,b2,b2
context,a2,a2,a2
continent,a2,a2,a2
continue,a2,a2,a2
continuous,b1,b1,b1
contract,b2,b2,b2
contrast,b1,b1,b1
contribute,b2,b2,b2
contribution,b2,b2,b2
control,a2,a2,a2
convenient,b1,b1,b1
conversation,a1,a1,a1
convert,b2,b2,b2
convince,b1,b1,b1
convinced,b2,b2,b2
cook,a1,a1,a1
cooker,a2,a2,a2
cooking,a1,a1,a1
cool,a1,a1,a1
copy,a2,a2,a2
core,b2,b2,b2
corner,a2,a2,a2
corporate,b2,b2,b2
correct,a1,a1,a1
correctly,a2,a2,a2
cost,a1,a1,a1
costume,b1,b1,b1
cottage,b1,b1,b1
cotton,b1,b1,b1
could,a1,a1,a1
council,b2,b2,b2
count,a2,a2,a2
country,a1,a1,a1
countryside,b1,b1,b1
county,b2,b2,b2
couple,a2,a2,a2
courage,b2,b2,b2
course,a1,a1,a1
court,b1,b1,b1
cousin,a1,a1,a1
cover,a2,a2,a2
covered,b1,b1,b1
cow,a1,a1,a1
crash,b2,b2,b2
crazy,a2,a2,a2
cream,a1,a1,a1
create,a1,a1,a1
creation,b2,b2,b2
creative,a2,a2,a2
creature,b2,b2,b2
credit,a2,a2,a2
crew,b2,b2,b2
crime,a2,a2,a2
criminal,a2,a2,a2
crisis,b2,b2,b2
criterion,b2,b2,b2
critic,b2,b2,b2
critical,b2,b2,b2
criticism,b2,b2,b2
criticize,b2,b2,b2
crop,b2,b2,b2
cross,a2,a2,a2
crowd,a2,a2,a2
crowded,a2,a2,a2
crucial,b2,b2,b2
cruel,b1,b1,b1
cry,a2,a2,a2
cultural,b1,b1,b1
culture,a1,a1,a1
cup,a1,a1,a1
cupboard,a2,a2,a2
cure,b2,b2,b2
curly,a2,a2,a2
currency,b1,b1,b1
current,b1,b1,b1
currently,b1,b1,b1
curtain,b1,b1,b1
curve,b2,b2,b2
curved,b2,b2,b2
custom,b1,b1,b1
customer,a1,a1,a1
cut,a1,a1,a1
cycle,a2,a2,a2
dad,a1,a1,a1
daily,a2,a2,a2
damage,b1,b1,b1
dance,a1,a1,a1
dancer,a1,a1,a1
dancing,a1,a1,a1
danger,a2,a2,a2
dangerous,a1,a1,a1
dark,a1,a1,a1
data,a2,a2,a2
date,a1,a1,a1
daughter,a1,a1,a1
day,a1,a1,a1
dead,a2,a2,a2
deal,a2,a2,a2
dear,a1,a1,a1
death,a2,a2,a2
debate,b2,b2,b2
debt,b2,b2,b2
decade,b1,b1,b1
december,a1,a1,a1
decent,b2,b2,b2
decide,a1,a1,a1
decision,a2,a2,a2
declare,b2,b2,b2
decline,b2,b2,b2
decorate,b1,b1,b1
decoration,b2,b2,b2
decrease,b2,b2,b2
deep,a2,a2,a2
deeply,b2,b2,b2
defeat,b2,b2,b2
defence,b2,b2,b2
defend,b2,b2,b2
define,b1,b1,b1
definite,b1,b1,b1
definitely,a2,a2,a2
definition,b1,b1,b1
degree,a2,a2,a2
delay,b2,b2,b2
deliberate,b2,b2,b2
deliberately,b2,b2,b2
delicious,a1,a1,a1
delight,b2,b2,b2
delighted,b2,b2,b2
deliver,b1,b1,b1
delivery,b2,b2,b2
demand,b2,b2,b2
demonstrate,b2,b2,b2
dentist,a2,a2,a2
deny,b2,b2,b2
department,a2,a2,a2
departure,b1,b1,b1
depend,a2,a2,a2
depressed,b2,b2,b2
depressing,b2,b2,b2
depth,b2,b2,b2
describe,a1,a1,a1
description,a1,a1,a1
desert,a2,a2,a2
deserve,b2,b2,b2
design,a1,a1,a1
designer,a2,a2,a2
desire,b2,b2,b2
desk,a1,a1,a1
desperate,b2,b2,b2
despite,b1,b1,b1
destination,b1,b1,b1
destroy,a2,a2,a2
detail,a1,a1,a1
detailed,b2,b2,b2
detect,b2,b2,b2
detective,a2,a2,a2
determine,b1,b1,b1
determined,b1,b1,b1
develop,a2,a2,a2
development,b1,b1,b1
device,a2,a2,a2
diagram,b1,b1,b1
dialogue,a1,a1,a1
diamond,b1,b1,b1
diary,a2,a2,a2
dictionary,a1,a1,a1
die,a1,a1,a1
diet,a1,a1,a1
difference,a1,a1,a1
different,a1,a1,a1
differently,a2,a2,a2
difficult,a1,a1,a1
difficulty,b1,b1,b1
dig,b2,b2,b2
digital,a2,a2,a2
dinner,a1,a1,a1
direct,a2,a2,a2
direction,a2,a2,a2
directly,b1,b1,b1
director,a2,a2,a2
dirt,b1,b1,b1
dirty,a1,a1,a1
disadvantage,b1,b1,b1
disagree,a2,a2,a2
disappear,a2,a2,a2
disappointed,b1,b1,b1
disappointing,b1,b1,b1
disaster,a2,a2,a2
disc,b2,b2,b2
discipline,b2,b2,b2
discount,b1,b1,b1
discover,a2,a2,a2
discovery,a2,a2,a2
discuss,a1,a1,a1
discussion,a2,a2,a2
disease,a2,a2,a2
dish,a1,a1,a1
dishonest,b2,b2,b2
disk,b2,b2,b2
dislike,b1,b1,b1
dismiss,b2,b2,b2
display,b2,b2,b2
distance,a2,a2,a2
distribute,b2,b2,b2
distribution,b2,b2,b2
district,b2,b2,b2
divide,b1,b1,b1
division,b2,b2,b2
divorced,a2,a2,a2
do,a1,a1,a1
doctor,a1,a1,a1
document,a2,a2,a2
documentary,b1,b1,b1
dog,a1,a1,a1
dollar,a1,a1,a1
domestic,b2,b2,b2
dominate,b2,b2,b2
donate,b1,b1,b1
door,a1,a1,a1
double,a2,a2,a2
doubt,b1,b1,b1
down,a1,a1,a1
download,a2,a2,a2
downstairs,a1,a1,a1
downwards,b2,b2,b2
dozen,b2,b2,b2
draft,b2,b2,b2
drag,b2,b2,b2
drama,a2,a2,a2
dramatic,b2,b2,b2
draw,a1,a1,a1
drawing,a2,a2,a2
dream,a2,a2,a2
dress,a1,a1,a1
dressed,b1,b1,b1
drink,a1,a1,a1
drive,a1,a1,a1
driver,a1,a1,a1
driving,a2,a2,a2
drop,a2,a2,a2
drug,a2,a2,a2
drum,b1,b1,b1
drunk,b1,b1,b1
dry,a2,a2,a2
due,b1,b1,b1
during,a1,a1,a1
dust,b1,b1,b1
duty,b1,b1,b1
dvd,a1,a1,a1
each,a1,a1,a1
ear,a1,a1,a1
early,a1,a1,a1
earn,a2,a2,a2
earth,a2,a2,a2
earthquake,b1,b1,b1
easily,a2,a2,a2
east,a1,a1,a1
eastern,b1,b1,b1
easy,a1,a1,a1
eat,a1,a1,a1
economic,b1,b1,b1
economy,b1,b1,b1
edge,b1,b1,b1
edit,b2,b2,b2
edition,b2,b2,b2
editor,b1,b1,b1
educate,b1,b1,b1
educated,b1,b1,b1
education,a2,a2,a2
educational,b1,b1,b1
effect,a2,a2,a2
effective,b1,b1,b1
effectively,b1,b1,b1
efficient,b2,b2,b2
effort,b1,b1,b1
egg,a1,a1,a1
eight,a1,a1,a1
eighteen,a1,a1,a1
eighty,a1,a1,a1
either,a2,a2,a2
elderly,b2,b2,b2
elect,b2,b2,b2
election,b1,b1,b1
electric,a2,a2,a2
electrical,a2,a2,a2
electricity,a2,a2,a2
electronic,a2,a2,a2
element,b1,b1,b1
elephant,a1,a1,a1
eleven,a1,a1,a1
else,a1,a1,a1
elsewhere,b2,b2,b2
email,a1,a1,a1
embarrassed,b1,b1,b1
embarrassing,b1,b1,b1
emerge,b2,b2,b2
emergency,b1,b1,b1
emotion,b1,b1,b1
emotional,b2,b2,b2
emphasis,b2,b2,b2
emphasize,b2,b2,b2
employ,a2,a2,a2
employee,a2,a2,a2
employer,a2,a2,a2
employment,b1,b1,b1
empty,a2,a2,a2
enable,b2,b2,b2
encounter,b2,b2,b2
encourage,b1,b1,b1
end,a1,a1,a1
ending,a2,a2,a2
enemy,b1,b1,b1
energy,a2,a2,a2
engage,b2,b2,b2
engaged,b1,b1,b1
engine,a2,a2,a2
engineer,a2,a2,a2
engineering,b1,b1,b1
enhance,b2,b2,b2
enjoy,a1,a1,a1
enormous,a2,a2,a2
enough,a1,a1,a1
enquiry,b2,b2,b2
ensure,b2,b2,b2
enter,a2,a2,a2
entertain,b1,b1,b1
entertainment,b1,b1,b1
enthusiasm,b2,b2,b2
enthusiastic,b2,b2,b2
entire,b2,b2,b2
entirely,b2,b2,b2
entrance,b1,b1,b1
entry,b1,b1,b1
environment,a2,a2,a2
environmental,b1,b1,b1
episode,b1,b1,b1
equal,b1,b1,b1
equally,b1,b1,b1
equipment,a2,a2,a2
error,a2,a2,a2
escape,b1,b1,b1
especially,a2,a2,a2
essay,a2,a2,a2
essential,b1,b1,b1
establish,b2,b2,b2
estate,b2,b2,b2
estimate,b2,b2,b2
ethical,b2,b2,b2
euro,a1,a1,a1
evaluate,b2,b2,b2
even,a1,a1,a1
evening,a1,a1,a1
event,a1,a1,a1
eventually,b1,b1,b1
ever,a1,a1,a1
every,a1,a1,a1
everybody,a1,a1,a1
everyday,a2,a2,a2
everyone,a1,a1,a1
everything,a1,a1,a1
everywhere,a2,a2,a2
